Date,Open,High,Low,Close,Volume,Company
12/29/2023,20,20,20,20,4600,SASN
12/28/2023,20,20,20,20,15200,SASN
12/27/2023,20,20,20,20,300,SASN
12/22/2023,20,20,20,20,2100,SASN
12/21/2023,20,20,19.7,19.75,1300,SASN
12/20/2023,19.7,19.7,19.7,19.7,2100,SASN
12/19/2023,20,20,20,20,1000,SASN
12/18/2023,20,20,20,20,500,SASN
12/15/2023,20,20,20,20,2700,SASN
12/13/2023,19.7,20,19.7,19.8,1800,SASN
11/12/2023,19.7,19.7,19.5,19.5,7900,SASN
07/12/2023,20,20,19.5,19.7,3300,SASN
06/12/2023,20,20,20,20,500,SASN
05/12/2023,19.95,20,19.95,20,2600,SASN
04/12/2023,20,20,19.5,19.85,12700,SASN
01/12/2023,20,20,20,20,1800,SASN
11/30/2023,19,19,18.35,18.95,1800,SASN
11/29/2023,19.9,20,19.8,19.85,6600,SASN
11/28/2023,19.8,20,19.8,19.9,800,SASN
11/27/2023,19.8,20,19.8,19.8,1200,SASN
11/24/2023,20,20,20,20,7000,SASN
11/23/2023,20,20,20,20,8100,SASN
11/22/2023,18.2,18.2,18.2,18.2,1200,SASN
11/21/2023,19,19,18.2,18.85,1400,SASN
11/20/2023,18.8,18.8,18.1,18.7,1500,SASN
11/17/2023,18.45,18.45,18.45,18.45,300,SASN
11/15/2023,18.65,18.65,18,18.45,3600,SASN
11/14/2023,18.9,19,18.55,18.8,1900,SASN
10/11/2023,18.65,19,18.65,18.9,300,SASN
09/11/2023,19,19,19,19,300,SASN
08/11/2023,19,19,19,19,400,SASN
07/11/2023,19.8,19.8,18.55,19.8,15100,SASN
06/11/2023,20,20,19.8,19.8,900,SASN
03/11/2023,22,22,19.8,20.45,2900,SASN
02/11/2023,22,22,22,22,100,SASN
10/31/2023,22,22,21.95,22,22400,SASN
10/30/2023,21.8,21.8,21.8,21.8,100,SASN
10/26/2023,23.95,24,23.95,24,200,SASN
10/25/2023,21.95,21.95,21.9,21.95,1900,SASN
10/24/2023,21.95,21.95,21,21.4,2000,SASN
10/23/2023,21.5,21.95,21.5,21.65,300,SASN
10/19/2023,21.95,21.95,19.8,21.1,300,SASN
10/18/2023,22,22,21.6,21.95,13100,SASN
10/17/2023,23,23,23,23,600,SASN
10/16/2023,23.8,23.8,22,22.45,400,SASN
12/10/2023,21.7,21.7,21.7,21.7,100,SASN
11/10/2023,22,22,22,22,1400,SASN
09/10/2023,22,22,22,22,2000,SASN
06/10/2023,22,22,21.5,21.7,17000,SASN
05/10/2023,23,23,22.25,22.95,4700,SASN
04/10/2023,22.1,23,22.1,22.35,1100,SASN
03/10/2023,22,23,21.5,22.1,2300,SASN
02/10/2023,24.05,24.05,23.5,23.85,3200,SASN
09/29/2023,24.1,24.7,24,24.1,4500,SASN
09/28/2023,26,26,24.1,24.7,800,SASN
09/27/2023,25,25,25,25,400,SASN
09/25/2023,24,24,24,24,100,SASN
09/22/2023,26,26,26,26,200,SASN
09/21/2023,26,26,23.5,23.8,6900,SASN
09/19/2023,26,26,26,26,100,SASN
09/18/2023,24,24,23.5,23.8,900,SASN
09/15/2023,23.1,23.1,23.1,23.1,1000,SASN
09/14/2023,23.05,23.05,23,23.05,75000,SASN
09/13/2023,23.05,23.05,23,23.05,3700,SASN
11/09/2023,22.5,24,22.5,22.75,2400,SASN
07/09/2023,24,24,24,24,100,SASN
06/09/2023,23.5,24,23.5,23.75,4700,SASN
05/09/2023,24,24,23.65,24,5500,SASN
04/09/2023,24,24,24,24,1000,SASN
01/09/2023,24,24,23.25,23.65,200,SASN
08/31/2023,23,24,23,23.5,200,SASN
08/30/2023,22.5,24,22.5,23.25,1100,SASN
