Date, Open, High, Low, Close, Volume
03/21/24, 19.20, 20.50, 17.25, 18.55, 9500
03/20/24, 20.00, 20.00, 19.00, 19.15, 1600
03/19/24, 20.50, 20.90, 20.50, 20.55, 1200
03/18/24, 20.00, 20.85, 19.60, 19.70, 3200
03/15/24, 19.50, 19.60, 19.50, 19.50, 4500
03/14/24, 20.00, 20.95, 19.00, 19.50, 1000
03/13/24, 20.80, 20.80, 20.80, 20.80, 600
03/12/24, 20.60, 20.90, 20.60, 20.85, 800
03/11/24, 20.95, 20.95, 20.85, 20.90, 1000
03/08/24, 19.50, 19.50, 18.10, 19.45, 3300
03/07/24, 20.95, 20.95, 19.25, 19.50, 2800
03/06/24, 21.00, 21.00, 19.85, 20.20, 2100
03/05/24, 21.00, 21.00, 19.00, 19.50, 4800
03/04/24, 20.00, 20.00, 20.00, 20.00, 1800
03/01/24, 21.00, 21.00, 19.90, 19.95, 4700
02/27/24, 22.00, 22.00, 20.00, 21.50, 400
02/26/24, 20.00, 20.00, 20.00, 20.00, 1000
02/23/24, 20.00, 20.00, 20.00, 20.00, 1000
02/22/24, 21.45, 21.45, 20.00, 20.70, 700
02/21/24, 21.80, 21.80, 20.50, 21.40, 500
02/19/24, 21.95, 21.95, 21.00, 21.55, 700
02/16/24, 21.00, 21.50, 21.00, 21.05, 1100
02/15/24, 21.00, 21.00, 21.00, 21.00, 500
02/14/24, 20.00, 22.00, 20.00, 21.00, 200
02/13/24, 22.00, 22.00, 22.00, 22.00, 1500
02/12/24, 22.00, 22.00, 20.00, 20.70, 1400
02/09/24, 20.00, 20.00, 19.90, 20.00, 1100
02/08/24, 22.00, 22.00, 22.00, 22.00, 400
02/07/24, 21.55, 21.95, 21.00, 21.95, 280500
02/05/24, 22.00, 22.00, 21.00, 21.55, 2400
02/02/24, 21.95, 21.95, 21.95, 21.95, 100
02/01/24, 22.00, 22.00, 22.00, 22.00, 1000
01/31/24, 21.00, 21.00, 21.00, 21.00, 1506000
01/29/24, 21.00, 21.00, 21.00, 21.00, 1000
01/26/24, 20.95, 21.00, 20.95, 21.00, 7100
01/25/24, 20.95, 20.95, 20.95, 20.95, 6200
01/24/24, 21.00, 21.00, 21.00, 21.00, 300
01/23/24, 22.00, 22.00, 20.00, 21.05, 7200
01/22/24, 21.00, 21.00, 21.00, 21.00, 1100
01/19/24, 21.00, 21.00, 21.00, 21.00, 2200
01/17/24, 21.00, 21.00, 21.00, 21.00, 200
01/16/24, 21.00, 21.00, 21.00, 21.00, 1000
01/15/24, 22.00, 22.00, 20.00, 21.85, 3300
01/12/24, 22.00, 22.00, 22.00, 22.00, 8700
01/11/24, 22.00, 22.00, 21.95, 22.00, 14600
01/10/24, 20.00, 20.00, 20.00, 20.00, 700
01/09/24, 22.00, 22.00, 20.00, 21.95, 14900
01/08/24, 20.00, 20.00, 20.00, 20.00, 2300
01/05/24, 20.00, 20.00, 20.00, 20.00, 200
01/04/24, 19.75, 19.75, 19.75, 19.75, 1000
01/03/24, 19.80, 19.80, 19.80, 19.80, 100
01/02/24, 20.00, 20.00, 20.00, 20.00, 3300
12/29/23, 20.00, 20.00, 20.00, 20.00, 4600
12/28/23, 20.00, 20.00, 20.00, 20.00, 15200
12/27/23, 20.00, 20.00, 20.00, 20.00, 300
12/22/23, 20.00, 20.00, 20.00, 20.00, 2100
12/21/23, 20.00, 20.00, 19.70, 19.75, 1300
